2022-04-02 10:43:47.366 [main] WARN  o.s.boot.autoconfigure.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the default package. Automatic @Repository and @Entity scanning is not enabled.
2022-04-02 10:43:50.033 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.a243.magicbazaar.dao.dto.Cart ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-04-02 10:47:39.357 [main] WARN  o.s.boot.autoconfigure.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the default package. Automatic @Repository and @Entity scanning is not enabled.
2022-04-02 10:47:41.984 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.a243.magicbazaar.dao.dto.Cart ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-04-02 10:48:41.471 [main] WARN  o.s.boot.autoconfigure.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the default package. Automatic @Repository and @Entity scanning is not enabled.
2022-04-02 10:48:43.903 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.a243.magicbazaar.dao.dto.Cart ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-04-02 10:53:39.912 [main] WARN  o.s.boot.autoconfigure.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the default package. Automatic @Repository and @Entity scanning is not enabled.
2022-04-02 10:53:42.514 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.a243.magicbazaar.dao.dto.Cart ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-04-02 12:12:18.358 [main] WARN  o.s.boot.autoconfigure.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the default package. Automatic @Repository and @Entity scanning is not enabled.
2022-04-02 12:12:20.826 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.a243.magicbazaar.dao.dto.Cart ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-04-02 12:14:53.823 [main] WARN  o.s.boot.autoconfigure.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the default package. Automatic @Repository and @Entity scanning is not enabled.
2022-04-02 12:14:56.438 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.a243.magicbazaar.dao.dto.Cart ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
